AllAuthors,FirstName1stAuthor,Gender,FirstAuthorCountry,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17
['Juan Mariano Ramos'],Juan,male,"Porto Alegre, Brazil",2019,1,Eolos: a wireless {MIDI} wind controller,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"['Ruihan Yang', 'Tianyao Chen', 'Yiyi Zhang', 'gus xia']",Ruihan,male,"Porto Alegre, Brazil",2019,4,Inspecting and Interacting with Meaningful Music Representations using {VAE},NIME,Tianyao,None,Yiyi,female,gus,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.68,0.96,,,,,,,,,,,,,,
"['Gerard Roma', 'Owen Green', 'Pierre Alexandre Tremblay']",Gerard,male,"Porto Alegre, Brazil",2019,3,Adaptive Mapping of Sound Collections for Data-driven Musical Interfaces,NIME,Owen,male,Pierre,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.98,0.99,,,,,,,,,,,,,,,
['Vesa Petri Norilo'],Vesa,male,"Porto Alegre, Brazil",2019,1,Veneer: Visual and Touch-based Programming for Audio,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,,,,,,,,,,,,,,,
"['Andrei Faitas', 'Synne Engdahl Baumann', 'Torgrim Rudland Næss', 'Jim Torresen', 'Charles Patrick Martin']",Andrei,male,"Porto Alegre, Brazil",2019,5,Generating Convincing Harmony Parts with Simple Long Short-Term Memory Networks,NIME,Synne,female,Torgrim,male,Jim,male,Charles,male,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.93,1.0,0.98,0.99,,,,,,,,,,,,,
"['Anthony T. Marasco', 'Edgar Berdahl', 'Jesse Allison']",Anthony,male,"Porto Alegre, Brazil",2019,3,{Bendit\_I/O}: A System for Networked Performance of Circuit-Bent Devices,NIME,Edgar,male,Jesse,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.91,,,,,,,,,,,,,,,
"['McLean J Macionis', 'Ajay Kapur']",McLean,male,"Porto Alegre, Brazil",2019,2,"Where Is The Quiet: Immersive Experience Design Using the Brain, Mechatronics, and Machine Learning",NIME,Ajay,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.99,,,,,,,,,,,,,,,,
['Tate Carson'],Tate,male,"Porto Alegre, Brazil",2019,1,Mesh Garden: A creative-based musical game for participatory musical performance ,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,
"['Beat Rossmy', 'Alexander Wiethoff']",Beat,male,"Porto Alegre, Brazil",2019,2,The Modular Backward Evolution --- Why to Use Outdated Technologies,NIME,Alexander,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,0.99,,,,,,,,,,,,,,,,
['Vincent Goudard'],Vincent,male,"Porto Alegre, Brazil",2019,1,Ephemeral instruments,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Julian Jaramillo', 'Fernando Iazzetta']",Julian,male,"Porto Alegre, Brazil",2019,2,{PICO}: A portable audio effect box for traditional plucked-string instruments,NIME,Fernando,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,,,,,,,,,,,,,,,,
['Guilherme Bertissolo'],Guilherme,male,"Porto Alegre, Brazil",2019,1,"Composing Understandings: music, motion, gesture and embodied cognition",NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Cristohper Ramos Flores', 'Jim Murphy', 'Michael Norris']",Cristohper,male,"Porto Alegre, Brazil",2019,3,HypeSax: Saxophone acoustic augmentation,NIME,Jim,male,Michael,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.98,0.99,,,,,,,,,,,,,,,
"['Patrick Chwalek', 'Joe Paradiso']",Patrick,male,"Porto Alegre, Brazil",2019,2,"CD-Synth: a Rotating, Untethered, Digital Synthesizer",NIME,Joe,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.95,,,,,,,,,,,,,,,,
"['Niccolò Granieri', 'James Dooley']",Niccolò,male,"Porto Alegre, Brazil",2019,2,Reach: a keyboard-based gesture recognition system for live piano sound modulation,NIME,James,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['margaret schedel', 'Jocelyn Ho', 'Matthew Blessing']",margaret,female,"Porto Alegre, Brazil",2019,3,Women's Labor: Creating {NIME}s from Domestic Tools ,NIME,Jocelyn,female,Matthew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.59,1.0,,,,,,,,,,,,,,,
"['Andre Rauber Du Bois', 'Rodrigo Geraldo Ribeiro']",Andre,male,"Porto Alegre, Brazil",2019,2,HMusic: A domain specific language for music programming and live coding,NIME,Rodrigo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.99,,,,,,,,,,,,,,,,
['Angelo Fraietta'],Angelo,male,"Porto Alegre, Brazil",2019,1,Stellar Command: a planetarium software based cosmic performance interface,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"['Patrick Müller', 'Johannes Michael Schuett']",Patrick,male,"Porto Alegre, Brazil",2019,2,Towards a Telematic Dimension Space,NIME,Johannes,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
['Pedro Pablo Lucas'],Pedro,male,"Porto Alegre, Brazil",2019,1,A {MIDI} Controller Mapper for the Built-in Audio Mixer in the Unity Game Engine,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
['Pedro Pablo Lucas'],Pedro,male,"Porto Alegre, Brazil",2019,1,AuSynthAR: A simple low-cost modular synthesizer based on Augmented Reality,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Don Derek Haddad', 'Joe Paradiso']",Don,male,"Porto Alegre, Brazil",2019,2,The World Wide Web in an Analog Patchbay,NIME,Joe,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.95,,,,,,,,,,,,,,,,
"['Fou Yoshimura', 'kazuhiro jo']",Fou,male,"Porto Alegre, Brazil",2019,2,"A ""voice"" instrument based on vocal tract models by using soft material for a 3D printer and an electrolarynx",NIME,kazuhiro,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,1.0,,,,,,,,,,,,,,,,
"['Juan Pablo Yepez Placencia', 'Jim Murphy', 'Dale Carnegie']",Juan,male,"Porto Alegre, Brazil",2019,3,Exploring Dynamic Variations for Expressive Mechatronic Chordophones,NIME,Jim,male,Dale,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.98,0.93,,,,,,,,,,,,,,,
"['Dhruv Chauhan', 'Peter Bennett']",Dhruv,male,"Porto Alegre, Brazil",2019,2,Searching for the Perfect Instrument: Increased Telepresence through Interactive Evolutionary Instrument Design,NIME,Peter,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,,
"['Richard J Savery', 'Benjamin Genchel', 'Jason Brent Smith', 'Anthony Caulkins', 'Molly E Jones', 'Anna Savery']",Richard,male,"Porto Alegre, Brazil",2019,6,Learning from History: Recreating and Repurposing Harriet Padberg's Computer Composed Canon and Free Fugue,NIME,Benjamin,male,Jason,male,Anthony,male,Molly,female,Anna,female,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,0.99,0.95,0.98,,,,,,,,,,,,
"['Edgar Berdahl', 'Austin Franklin', 'Eric Sheffield']",Edgar,male,"Porto Alegre, Brazil",2019,3,A Spatially Distributed Vibrotactile Actuator Array for the Fingertips,NIME,Austin,male,Eric,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,0.99,,,,,,,,,,,,,,,
"['Jeff Gregorio', 'Youngmoo Kim']",Jeff,male,"Porto Alegre, Brazil",2019,2,Augmenting Parametric Synthesis with Learned Timbral Controllers,NIME,Youngmoo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,,,,,,,,,,,,,,,,
"['Sang-won Leigh', 'Abhinandan Jain', 'Pattie Maes']",Sang-won,male,"Porto Alegre, Brazil",2019,3,Exploring Human-Machine Synergy and Interaction on a Robotic Instrument,NIME,Abhinandan,male,Pattie,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,0.99,0.92,,,,,,,,,,,,,,,
['Sang Won Lee'],Sang,male,"Porto Alegre, Brazil",2019,1,Show Them My Screen: Mirroring a Laptop Screen as an Expressive and Communicative Means in Computer Music,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,,,,
['Josh Urban Davis'],Josh,male,"Porto Alegre, Brazil",2019,1,IllumiWear: A Fiber-Optic eTextile for MultiMedia Interactions,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Weng, Ruolun']",Ruolun,None,"Birmingham, UK",2020,1,Interactive Mobile Musical Application using faust2smartphone,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
"['Sullivan, John', 'Vanasse, Julian', 'Guastavino, Catherine', 'Wanderley, Marcelo']",John,male,"Birmingham, UK",2020,4,Reinventing the Noisebox: Designing Embedded Instruments for Active Musicians,NIME,Julian,male,Catherine,female,Marcelo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,0.98,0.99,,,,,,,,,,,,,,
"['Gibson, Darrell J', 'Polfreman, Richard']",Darrell,male,"Birmingham, UK",2020,2,Star Interpolator – A Novel Visualization Paradigm for Graphical Interpolators,NIME,Richard,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.99,,,,,,,,,,,,,,,,
"['Pardue, Laurel S', 'Ortiz, Miguel', 'van Walstijn, Maarten', 'Stapleton, Paul', 'Rodger, Matthew']",Laurel,female,"Birmingham, UK",2020,5,Vodhrán: collaborative design for evolving a physical model and interface into a proto-instrument,NIME,Miguel,male,Maarten,male,Paul,male,Matthew,male,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.99,0.99,0.99,1.0,,,,,,,,,,,,,
"['Venkatesh, Satvik', 'Braund, Edward', 'Miranda, Eduardo']",Satvik,male,"Birmingham, UK",2020,3,Designing Brain-computer Interfaces for Sonic Expression,NIME,Edward,male,Eduardo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,0.99,,,,,,,,,,,,,,,
"['Williams, Duncan A.H.', 'Fazenda, Bruno', 'Williamson, Victoria J.', 'Fazekas, Gyorgy']",Duncan,male,"Birmingham, UK",2020,4,Biophysiologically synchronous computer generated music improves performance and reduces perceived effort in trail runners,NIME,Bruno,male,Victoria,female,Gyorgy,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.98,0.79,,,,,,,,,,,,,,
"['Bernardes, Gilberto', 'Bernardes, Gilberto']",Gilberto,male,"Birmingham, UK",2020,2,Interfacing Sounds: Hierarchical Audio-Content Morphologies for Creative Re-purposing in earGram 2.0,NIME,Gilberto,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Han, Joung Min', 'Kakehi, Yasuaki']",Joung,male,"Birmingham, UK",2020,2,ParaSampling: A Musical Instrument with Handheld Tapehead Interfaces for Impromptu Recording and Playing on a Magnetic Tape,NIME,Yasuaki,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,1.0,,,,,,,,,,,,,,,,
"['Filandrianos, Giorgos', 'Kotsani, Natalia', 'Dervakos, Edmund G', 'Stamou, Giorgos', 'Amprazis, Vaios', 'Kiourtzoglou, Panagiotis']",Giorgos,male,"Birmingham, UK",2020,6,Brainwaves-driven Effects Automation in Musical Performance,NIME,Natalia,female,Edmund,male,Giorgos,male,Vaios,male,Panagiotis,male,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,0.99,0.99,0.99,0.99,,,,,,,,,,,,
"['Wakefield, Graham', 'Palumbo, Michael', 'Zonta, Alexander']",Graham,male,"Birmingham, UK",2020,3,Affordances and Constraints of Modular Synthesis in Virtual Reality,NIME,Michael,male,Alexander,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,,,,,,,,,,,,,,,
"['moraitis, emmanouil']",emmanouil,male,"Birmingham, UK",2020,1,Symbiosis: a biological taxonomy for modes of interaction in dance-music collaborations,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"['Nonnis, Antonella', 'Bryan-Kinns, Nick']",Antonella,female,"Birmingham, UK",2020,2,Όλοι: music making to scaffold social playful activities and self-regulation,NIME,Nick,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,,,,,,,,,,,,,,,,
"['Sithi-Amnuai, Sara']",Sara,female,"Birmingham, UK",2020,1,Exploring Identity Through Design: A Focus on the Cultural Body Via Nami,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"['Xambó, Anna', 'Roma, Gerard']",Anna,female,"Birmingham, UK",2020,2,Performing Audiences: Composition Strategies for Network Music using Mobile Phones,NIME,Gerard,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.98,,,,,,,,,,,,,,,,
"['Wright, Joe']",Joe,male,"Birmingham, UK",2020,1,The Appropriation and Utility of Constrained ADMIs,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,
"['Mice, Lia', 'McPherson, Andrew']",Lia,female,"Birmingham, UK",2020,2,From miming to NIMEing: the development of idiomatic gestural language on large scale DMIs,NIME,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.99,,,,,,,,,,,,,,,,
"['Payne, William C', 'Paradiso, Ann', 'Kane, Shaun']",William,male,"Birmingham, UK",2020,3,Cyclops: Designing an eye-controlled instrument for accessibility and flexible use,NIME,Ann,female,Shaun,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.97,0.99,,,,,,,,,,,,,,,
"['Marquez-Borbon, Adnan']",Adnan,male,"Birmingham, UK",2020,1,Collaborative Learning with Interactive Music Systems,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,
"['Vetter, Jens']",Jens,male,"Birmingham, UK",2020,1,WELLE - a web-based music environment for the blind,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Pessoa, Margarida', 'Parauta, Cláudio', 'Luís, Pedro', 'Corintha, Isabela', 'Bernardes, Gilberto']",Margarida,female,"Birmingham, UK",2020,5,Examining Temporal Trends and Design Goals of Digital Music Instruments for Education in NIME: A Proposed Taxonomy,NIME,Cláudio,None,Pedro,male,Isabela,female,Gilberto,male,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.0,0.99,0.98,0.99,,,,,,,,,,,,,
"['Pardue, Laurel S', 'Bhamra, Kuljit', 'England, Graham', 'Eddershaw, Phil', 'Menzies, Duncan ']",Laurel,female,"Birmingham, UK",2020,5,Demystifying tabla through the development of an electronic drum,NIME,Kuljit,male,Graham,male,Phil,male,Duncan,male,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.86,0.99,0.98,0.99,,,,,,,,,,,,,
"['Sierra, Juan D']",Juan,male,"Birmingham, UK",2020,1,SpeakerDrum,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,
"['Caren, Matthew', 'Michon, Romain', 'Wright, Matthew']",Matthew,male,"Birmingham, UK",2020,3,The KeyWI: An Expressive and Accessible Electronic Wind Instrument,NIME,Romain,male,Matthew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,1.0,,,,,,,,,,,,,,,
"['Christensen, Pelle Juul', 'Overholt, Dan', 'Serafin, Stefania']",Pelle,male,"Birmingham, UK",2020,3,The Da ̈ıs: A Haptically Enabled New Interface for Musical Expression for Controlling Physical Models for Sound Synthesis,NIME,Dan,male,Stefania,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.95,0.99,,,,,,,,,,,,,,,
"['Hunt, Samuel J', 'Mitchell, Tom', 'Nash, Chris']",Samuel,male,"Birmingham, UK",2020,3,"Composing computer generated music, an observational study using IGME: the Interactive Generative Music Environment",NIME,Tom,male,Chris,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.9,,,,,,,,,,,,,,,
"['Wilbert, Joao', 'Haddad, Don D', 'Ishii, Hiroshi', 'Paradiso, Joseph']",Joao,male,"Birmingham, UK",2020,4,Patch-corde: an expressive patch-cable for the modular synthesizer.,NIME,Don,male,Hiroshi,male,Joseph,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.98,0.99,0.99,,,,,,,,,,,,,,
"['Suchánek, Jiří']",Jiří,None,"Birmingham, UK",2020,1,SOIL CHOIR v.1.3 - soil moisture sonification installation,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
"['Koutsomichalis, Marinos']",Marinos,male,"Birmingham, UK",2020,1,Rough-hewn Hertzian Multimedia Instruments,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Olsen, Taylor J']",Taylor,male,"Birmingham, UK",2020,1,"Animation, Sonification, and Fluid-Time: A Visual-Audioizer Prototype",NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,,,,,,,,,,,,,,,,,
"['de las Pozas, Virginia']",Virginia,female,"Birmingham, UK",2020,1,Semi-Automated Mappings for Object-Manipulating Gestural Control of Electronic Music,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Benetatos, Christodoulos', 'VanderStel, Joseph', 'Duan, Zhiyao']",Christodoulos,male,"Birmingham, UK",2020,3,BachDuet: A Deep Learning System for Human-Machine Counterpoint Improvisation,NIME,Joseph,male,Zhiyao,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,0.75,,,,,,,,,,,,,,,
"['Capra, Olivier', 'Berthaut, Florent', 'Grisoni, Laurent']",Olivier,male,"Birmingham, UK",2020,3,All You Need Is LOD : Levels of Detail in Visual Augmentations for the Audience,NIME,Florent,male,Laurent,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,,,,,,,,,,,,,,,
"['Wang, Johnty', 'Meneses, Eduardo', 'Wanderley, Marcelo']",Johnty,male,"Birmingham, UK",2020,3,The Scalability of WiFi for Mobile Embedded Sensor Interfaces,NIME,Eduardo,male,Marcelo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,0.99,,,,,,,,,,,,,,,
"['Berthaut, Florent', 'Dahl, Luke']",Florent,male,"Birmingham, UK",2020,2,Adapting & Openness: Dynamics of Collaboration Interfaces for Heterogeneous Digital Orchestras,NIME,Luke,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Förster, Andreas', 'Komesker, Christina', 'Schnell, Norbert']",Andreas,male,"Birmingham, UK",2020,3,SnoeSky and SonicDive - Design and Evaluation of Two Accessible Digital Musical Instruments for a SEN School,NIME,Christina,female,Norbert,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.98,0.99,,,,,,,,,,,,,,,
"['Pritchard, Robert', 'Lavery, Ian']",Robert,male,"Birmingham, UK",2020,2,Inexpensive Colour Tracking to Overcome Performer ID Loss ,NIME,Ian,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Nishida, Kiyu', 'jo, kazuhiro']",Kiyu,female,"Birmingham, UK",2020,2,Modules for analog synthesizers using Aloe vera biomemristor,NIME,kazuhiro,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,
"['Moro, Giulio', 'McPherson, Andrew']",Giulio,male,"Birmingham, UK",2020,2,A platform for low-latency continuous keyboard sensing and sound generation,NIME,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,
"['Sarkar, Advait', 'Mattinson, Henry']",Advait,male,"Birmingham, UK",2020,2,Excello: exploring spreadsheets for music composition,NIME,Henry,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.98,,,,,,,,,,,,,,,,
"['Guidi, Andrea', 'Morreale, Fabio', 'McPherson, Andrew']",Andrea,male,"Birmingham, UK",2020,3,Design for auditory imagery: altering instruments to explore performer fluency,NIME,Fabio,male,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.99,0.99,,,,,,,,,,,,,,,
"['Masu, Raul', 'Bala, Paulo', 'Ahmad, Muhammad', 'Correia, Nuno N.', 'Nisi, Valentina', 'Nunes, Nuno', 'Romão, Teresa']",Raul,male,"Birmingham, UK",2020,7,VR Open Scores: Scores as Inspiration for VR Scenarios,NIME,Paulo,male,Muhammad,male,Nuno,male,Valentina,female,Nuno,male,Teresa,female,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,0.99,0.99,0.99,0.98,,,,,,,,,,,
"['Skuse, Amble H C ', 'Knotts, Shelly']",Amble,male,"Birmingham, UK",2020,2,Creating an Online Ensemble for Home Based Disabled Musicians: Disabled Access and Universal Design - why disabled people must be at the heart of developing technology.,NIME,Shelly,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.96,,,,,,,,,,,,,,,,
"['Çamcı, Anıl', 'Vilaplana, Matias', 'Wang, Ruth']",Anıl,None,"Birmingham, UK",2020,3,Exploring the Affordances of VR for Musical Interaction Design with VIMEs,NIME,Matias,male,Ruth,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.98,0.98,,,,,,,,,,,,,,,
"['Çamcı, Anıl', 'Willette, Aaron', 'Gargi, Nachiketa', 'Kim, Eugene', 'Xu, Julia', 'Lai, Tanya']",Anıl,None,"Birmingham, UK",2020,6,Cross-platform and Cross-reality Design of Immersive Sonic Environments,NIME,Aaron,male,Nachiketa,male,Eugene,male,Julia,female,Tanya,female,,,,,,,,,,,,,,,,,,,,,,,0.0,0.99,0.75,0.95,0.97,0.98,,,,,,,,,,,,
"['Schebella, Marius', 'Fischbacher, Gertrud', 'Mosher, Matthew']",Marius,male,"Birmingham, UK",2020,3,Silver: A Textile Wireframe Interface for the Interactive Sound Installation Idiosynkrasia,NIME,Gertrud,female,Matthew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.95,1.0,,,,,,,,,,,,,,,
"['Yang, Ning', 'Savery, Richard', 'Sankaranarayanan, Raghavasimhan', 'Zahray, Lisa', 'Weinberg, Gil']",Ning,female,"Birmingham, UK",2020,5,Mechatronics-Driven Musical Expressivity for Robotic Percussionists,NIME,Richard,male,Raghavasimhan,None,Lisa,female,Gil,male,,,,,,,,,,,,,,,,,,,,,,,,,0.76,0.99,0.0,0.98,0.92,,,,,,,,,,,,,
"['Dunham, Paul']",Paul,male,"Birmingham, UK",2020,1,Click::RAND. A Minimalist Sound Sculpture.,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Tomás, Enrique']",Enrique,male,"Birmingham, UK",2020,1,A Playful Approach to Teaching NIME: Pedagogical Methods from a Practice-Based Perspective,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
"['Jarvis Holland, Quinn D', 'Quartez, Crystal', 'Botello, Francisco', 'Gammill, Nathan']",Quinn,male,"Birmingham, UK",2020,4,EXPANDING ACCESS TO MUSIC TECHNOLOGY-  Rapid Prototyping Accessible Instrument Solutions For Musicians With Intellectual Disabilities,NIME,Crystal,female,Francisco,male,Nathan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.92,0.99,0.99,,,,,,,,,,,,,,
"['Boem, Alberto', 'Troiano, Giovanni M', 'and Lepri, Giacomo', 'Zappi, Victor']",Alberto,male,"Birmingham, UK",2020,4,"Non-Rigid Musical Interfaces: Exploring Practices, Takes, and Future Perspective",NIME,Giovanni,male,Giacomo,male,Victor,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.99,0.99,0.99,,,,,,,,,,,,,,
"['Atherton, Jack', 'Wang, Ge']",Jack,male,"Birmingham, UK",2020,2,Curating Perspectives: Incorporating Virtual Reality into Laptop Orchestra Performance,NIME,Ge,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.68,,,,,,,,,,,,,,,,
"['Morreale, Fabio', 'Bin, Astrid', 'McPherson, Andrew', 'Stapleton, Paul', 'Wanderley, Marcelo']",Fabio,male,"Birmingham, UK",2020,5,A NIME Of The Times: Developing an Outward-Looking Political Agenda For This Community,NIME,Astrid,female,Andrew,male,Paul,male,Marcelo,male,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.97,0.99,0.99,0.99,,,,,,,,,,,,,
"['Ko, Chantelle L', 'Oehlberg, Lora']",Chantelle,female,"Birmingham, UK",2020,2,Touch Responsive Augmented Violin Interface System II: Integrating Sensors into a 3D Printed Fingerboard,NIME,Lora,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.95,,,,,,,,,,,,,,,,
"['Gold, Nicolas E', 'Wang, Chongyang', 'Olugbade, Temitayo', 'Berthouze, Nadia', 'Williams, Amanda']",Nicolas,male,"Birmingham, UK",2020,5,"P(l)aying Attention: Multi-modal, multi-temporal music control",NIME,Chongyang,male,Temitayo,male,Nadia,female,Amanda,female,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.83,0.6,0.98,0.98,,,,,,,,,,,,,
"['Cavdir, Doga', 'Wang, Ge']",Doga,female,"Birmingham, UK",2020,2,Felt Sound: A Shared Musical Experience for the Deaf and Hard of Hearing,NIME,Ge,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.68,,,,,,,,,,,,,,,,
"['Leitman, Sasha']",Sasha,male,"Birmingham, UK",2020,1,Sound Based Sensors for NIMEs,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,
"['Ikawa, Yuma', 'Matsuura, Akihiro']",Yuma,male,"Birmingham, UK",2020,2,Playful Audio-Visual Interaction with Spheroids ,NIME,Akihiro,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,1.0,,,,,,,,,,,,,,,,
