AllAuthors,FirstName1stAuthor,Gender,FirstAuthorCountry,Year,NumberOfAuthors,Title,Conference,FirstName2ndAuthor,Gender2,FirstName3rdAuthor,Gender3,FirstName4thAuthor,Gender4,FirstName5thAuthor,Gender5,FirstName6thAuthor,Gender6,FirstName7thAuthor,Gender7,FirstName8thAuthor,Gender8,FirstName9thAuthor,Gender9,FirstName10thAuthor,Gender10,FirstName11thAuthor,Gender11,FirstName12thAuthor,Gender12,FirstName13thAuthor,Gender13,FirstName14thAuthor,Gender14,FirstName15thAuthor,Gender15,FirstName16thAuthor,Gender16,FirstName17thAuthor,Gender17,Probability1,Probability2,Probability3,Probability4,Probability5,Probability6,Probability7,Probability8,Probability9,Probability10,Probability11,Probability12,Probability13,Probability14,Probability15,Probability16,Probability17
"[u'Charlie Roberts', u'Matthew Wright', u'JoAnn Kuchera-Morin', u'Tobias H{\\""o}llerer']",Charlie,male,"London, United Kingdom",2014,4,Rapid Creation and Publication of Digital Musical Instruments,NIME,Matthew,male,JoAnn,female,Tobias,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,1.0,0.99,1.0,,,,,,,,,,,,,,
"[u'Emily Robertson', u'Enrico Bertelli']",Emily,female,"London, United Kingdom",2014,2,Conductive Music: Teaching Innovative Interface Design and Composition Techniques with Open-Source Hardware,NIME,Enrico,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.97,,,,,,,,,,,,,,,,
"[u'Udit Roy', u'Tejaswinee Kelkar', u'Bipin Indurkhya']",Udit,male,"London, United Kingdom",2014,3,TrAP: An Interactive System to Generate Valid Raga Phrases from Sound-Tracings,NIME,Tejaswinee,None,Bipin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,None,1.0,,,,,,,,,,,,,,,
[u'Adriana Sa'],Adriana,female,"London, United Kingdom",2014,1,Repurposing Video Game Software for Musical Expression: A Perceptual Approach,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Spencer Salazar', u'Ge Wang']",Spencer,male,"London, United Kingdom",2014,2,Auraglyph: Handwritten Computer Music Composition and Design,NIME,Ge,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.61,,,,,,,,,,,,,,,,
"[u""A\\'lvaro Saras\\'ua"", u'Enric Guaus']",Álvaro,None,"London, United Kingdom",2014,2,Dynamics in Music Conducting: A Computational Comparative Study Among Subjects,NIME,Enric,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0.97,,,,,,,,,,,,,,,,
[u'Ozan Sarier'],Ozan,male,"London, United Kingdom",2014,1,Rub Synth : A Study of Implementing Intentional Physical Difficulty Into Touch Screen Music Controllers,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Dominik Schlienger', u'Sakari Tervo']",Dominik,male,"London, United Kingdom",2014,2,Acoustic Localisation as an Alternative to Positioning Principles in Applications presented at NIME 2001-2013,NIME,Sakari,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,,,,,,,,,,,,,,,,
"[u'Diemo Schwarz', u'Pierre Alexandre Tremblay', u'Alex Harker']",Diemo,None,"London, United Kingdom",2014,3,Rich Contacts: Corpus-Based Convolution of Contact Interaction Sound for Enhanced Musical Expression,NIME,Pierre,male,Alex,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0.99,0.87,,,,,,,,,,,,,,,
"[u'Stefania Serafin', u'Stefano Trento', u'Francesco Grani', u'Hannah Perner-Wilson', u'Seb Madgwick', u'Tom Mitchell']",Stefania,female,"London, United Kingdom",2014,6,Controlling Physically Based Virtual Musical Instruments Using The Gloves,NIME,Stefano,male,Francesco,male,Hannah,female,Seb,male,Tom,male,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
"[u'Jeff Snyder', u'Danny Ryan']",Jeff,male,"London, United Kingdom",2014,2,The Birl: An Electronic Wind Instrument Based on an Artificial Neural Network Parameter Mapping Structure,NIME,Danny,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.95,,,,,,,,,,,,,,,,
"[u'Jeff Snyder', u'Avneesh Sarwate']",Jeff,male,"London, United Kingdom",2014,2,Mobile Device Percussion Parade,NIME,Avneesh,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Janis Sokolovskis', u'Andrew McPherson']",Janis,female,"London, United Kingdom",2014,2,Optical Measurement of Acoustic Drum Strike Locations,NIME,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,1.0,,,,,,,,,,,,,,,,
[u'Adam Stark'],Adam,male,"London, United Kingdom",2014,1,Sound Analyser: A Plug-In for Real-Time Audio Analysis in Live Performances and Installations,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Bradley Strylowski', u'Jesse Allison', u'Jesse Guessford']",Bradley,male,"London, United Kingdom",2014,3,Pitch Canvas: Touchscreen Based Mobile Music Instrument,NIME,Jesse,male,Jesse,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.93,0.93,,,,,,,,,,,,,,,
"[u'Sangwon Suh', u'Jeong-seob Lee', u'Woon Seung Yeo']",Sangwon,male,"London, United Kingdom",2014,3,A Gesture Detection with Guitar Pickup and Earphones,NIME,Jeong-seob,None,Woon,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,None,0.86,,,,,,,,,,,,,,,
"[u'Benjamin Taylor', u'Jesse Allison', u'William Conlin', u'Yemin Oh', u'Daniel Holmes']",Benjamin,male,"London, United Kingdom",2014,5,"Simplified Expressive Mobile Development with NexusUI, NexusUp, and NexusDrop",NIME,Jesse,male,William,male,Yemin,None,Daniel,male,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.93,1.0,None,1.0,,,,,,,,,,,,,
"[u""Enrique Tom\\'as"", u'Martin Kaltenbrunner']",Enrique,male,"London, United Kingdom",2014,2,Tangible Scores: Shaping the Inherent Instrument Score,NIME,Martin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,,,,,,,,,,,,,,,,
"[u'Daniel Tormoen', u'Florian Thalmann', u'Guerino Mazzola']",Daniel,male,"London, United Kingdom",2014,3,The Composing Hand: Musical Creation with Leap Motion and the BigBang Rubette,NIME,Florian,male,Guerino,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
[u'Piers Titus van der Torren'],Piers,male,"London, United Kingdom",2014,1,"Striso, a Compact Expressive Instrument Based on a New Isomorphic Note Layout",NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,,,,,,,,,,
"[u'Shawn Trail', u'Duncan MacConnell', u'Leo Jenkins', u'Jeff Snyder', u'George Tzanetakis', u'Peter Driessen']",Shawn,male,"London, United Kingdom",2014,6,"El-Lamellophone A Low-cost, DIY, Open Framework for Acoustic Lemellophone Based Hyperinstruments",NIME,Duncan,male,Leo,male,Jeff,male,George,male,Peter,male,,,,,,,,,,,,,,,,,,,,,,,0.9,1.0,0.95,1.0,0.99,1.0,,,,,,,,,,,,
[u'Akito van Troyer'],Akito,male,"London, United Kingdom",2014,1,Composing Embodied Sonic Play Experiences: Towards Acoustic Feedback Ecology,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,,,,,,,,,,,,,,,,
"[u'Sebastian Trump', u'Jamie Bullock']",Sebastian,male,"London, United Kingdom",2014,2,Orphion: A Gestural Multi-Touch Instrument for the iPad,NIME,Jamie,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.53,,,,,,,,,,,,,,,,
[u'Augoustinos Tsiros'],Augoustinos,male,"London, United Kingdom",2014,1,Evaluating the Perceived Similarity Between Audio-Visual Features Using Corpus-Based Concatenative Synthesis,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Robert Tubb', u'Simon Dixon']",Robert,male,"London, United Kingdom",2014,2,The Divergent Interface: Supporting Creative Exploration of Parameter Spaces,NIME,Simon,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,,
"[u'Anders Tveit', u'Hans Wilmers', u'Notto Thelle', u'Magnus Bugge', u'Thom Johansen', u'Eskil Muan S{\\ae}ther']",Anders,male,"London, United Kingdom",2014,6,{Reunion}2012: A Novel Interface for Sound Producing Actions Through the Game of Chess,NIME,Hans,male,Notto,male,Magnus,male,Thom,male,Eskil,male,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,1.0,1.0,0.99,1.0,,,,,,,,,,,,
"[u'Chet Udell', u'James Paul Sain']",Chet,male,"London, United Kingdom",2014,2,eMersion | Sensor-controlled Electronic Music Modules \& Digital Data Workstation,NIME,James,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,,
"[u'Federico Visi', u'Rodrigo Schramm', u'Eduardo Miranda']",Federico,male,"London, United Kingdom",2014,3,Use of Body Motion to Enhance Traditional Musical Instruments,NIME,Rodrigo,male,Eduardo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
"[u'Graham Wakefield', u'Charlie Roberts', u'Matthew Wright', u'Timothy Wood', u'Karl Yerkes']",Graham,male,"London, United Kingdom",2014,5,Collaborative Live-Coding with an Immersive Instrument,NIME,Charlie,male,Matthew,male,Timothy,male,Karl,male,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.79,1.0,1.0,1.0,,,,,,,,,,,,,
"[u'Nicholas Ward', u'Giuseppe Torre']",Nicholas,male,"London, United Kingdom",2014,2,Constraining Movement as a Basis for DMI Design and Performance.,NIME,Giuseppe,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Thomas Webster', u'Guillaume LeNost', u'Martin Klang']",Thomas,male,"London, United Kingdom",2014,3,The OWL programmable stage effects pedal: Revising the concept of the on-stage computer for live music performance,NIME,Guillaume,male,Martin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
"[u'Valtteri Wikstr\\""om']",Valtteri,male,"London, United Kingdom",2014,1,Musical Composition by Regressional Mapping of Physiological Responses to Acoustic Features,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Duncan Williams', u'Peter Randall-Page', u'Eduardo Miranda']",Duncan,male,"London, United Kingdom",2014,3,Timbre morphing: near real-time hybrid synthesis in a musical installation,NIME,Peter,male,Eduardo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
"[u""Anna Xamb\\'o"", u'Gerard Roma', u'Robin Laney', u'Chris Dobbyn', u'Sergi Jord\\`a']",Anna,female,"London, United Kingdom",2014,5,SoundXY4: Supporting Tabletop Collaboration and Awareness with Ambisonics Spatialisation,NIME,Gerard,male,Robin,female,Chris,male,Sergi,male,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.59,0.93,0.99,,,,,,,,,,,,,
"[u'Xiao Xiao', u'Basheer Tome', u'Hiroshi Ishii']",Xiao,female,"London, United Kingdom",2014,3,Andante: Walking Figures on the Piano Keyboard to Visualize Musical Motion,NIME,Basheer,male,Hiroshi,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,1.0,1.0,,,,,,,,,,,,,,,
"[u'Karl Yerkes', u'Matthew Wright']",Karl,male,"London, United Kingdom",2014,2,Twkyr: a Multitouch Waveform Looper,NIME,Matthew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Alejandro Van Zandt-Escobar', u'Baptiste Caramiaux', u'Atau Tanaka']",Alejandro,male,"London, United Kingdom",2014,3,PiaF: A Tool for Augmented Piano Performance Using Gesture Variation Following,NIME,Baptiste,male,Atau,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,None,,,,,,,,,,,,,,,
"[u'Victor Zappi', u'Andrew McPherson']",Victor,male,"London, United Kingdom",2014,2,Dimensionality and Appropriation in Digital Musical Instrument Design,NIME,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Mo Zareei', u'Ajay Kapur', u'Dale A. Carnegie']",Mo,male,"London, United Kingdom",2014,3,Rasper: a Mechatronic Noise-Intoner,NIME,Ajay,male,Dale,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,0.99,0.91,,,,,,,,,,,,,,,
[u'Chris Korda'],Chris,male,"Baton Rouge, Louisiana, USA",2015,1,ChordEase: A MIDI remapper for intuitive performance of non-modal music,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,
"[u'Mohammad Akbari', u'Howard Cheng']",Mohammad,male,"Baton Rouge, Louisiana, USA",2015,2,claVision: Visual Automatic Piano Music Transcription,NIME,Howard,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.96,,,,,,,,,,,,,,,,
"[u'Jan C. Schacher', u'Chikashi Miyama', u'Daniel Bisig']",Jan,male,"Baton Rouge, Louisiana, USA",2015,3,Gestural Electronic Music using Machine Learning as Generative Device,NIME,Chikashi,None,Daniel,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,None,1.0,,,,,,,,,,,,,,,
"[u'Stefano Papetti', u""Se\\'bastien Schiesser"", u'Martin Fr\\""ohlich']",Stefano,male,"Baton Rouge, Louisiana, USA",2015,3,Multi-point vibrotactile feedback for an expressive musical interface,NIME,Sébastien,None,Martin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,None,1.0,,,,,,,,,,,,,,,
"[u'David Ramsay', u'Joseph Paradiso']",David,male,"Baton Rouge, Louisiana, USA",2015,2,"GroupLoop: A Collaborative, Network-Enabled Audio Feedback Instrument",NIME,Joseph,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,,
"[u'Kazuhiko Yamamoto', u'Takeo Igarashi']",Kazuhiko,male,"Baton Rouge, Louisiana, USA",2015,2,LiVo: Sing a Song with a Vowel Keyboard,NIME,Takeo,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Koray Tahiroglu', u'Thomas Svedstr\\""om', u'Valtteri Wikstr\\""om']",Koray,male,"Baton Rouge, Louisiana, USA",2015,3,Musical Engagement that is Predicated on Intentional Activity of the Performer with NOISA Instruments,NIME,Thomas,male,Valtteri,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
"[u'Jason Long', u'Jim Murphy', u'Ajay Kapur', u'Dale Carnegie']",Jason,male,"Baton Rouge, Louisiana, USA",2015,4,A Methodology for Evaluating Robotic Striking Mechanisms for Musical Contexts,NIME,Jim,male,Ajay,male,Dale,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.99,0.91,,,,,,,,,,,,,,
"[u'Troy Rogers', u'Steven Kemper', u'Scott Barton']",Troy,male,"Baton Rouge, Louisiana, USA",2015,3,MARIE: Monochord-Aerophone Robotic Instrument Ensemble,NIME,Steven,male,Scott,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
[u'Jiffer Harriman'],Jiffer,None,"Baton Rouge, Louisiana, USA",2015,1,Pd Poems and Teaching Tools,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,
[u'Robin Hayward'],Robin,female,"Baton Rouge, Louisiana, USA",2015,1,The Hayward Tuning Vine: an interface for Just Intonation,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,
"[u'Michael Krzyzaniak', u'Garth Paine']",Michael,male,"Baton Rouge, Louisiana, USA",2015,2,Realtime Classification of Hand-Drum Strokes,NIME,Garth,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Robert Van Rooyen', u'Andrew Schloss', u'George Tzanetakis']",Robert,male,"Baton Rouge, Louisiana, USA",2015,3,Snare Drum Motion Capture Dataset,NIME,Andrew,male,George,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.99,,,,,,,,,,,,,,,
"[u'Rhushabh Bhandari', u'Avinash Parnandi', u'Eva Shipp', u'Beena Ahmed', u'Ricardo Gutierrez-Osuna']",Rhushabh,None,"Baton Rouge, Louisiana, USA",2015,5,Music-based respiratory biofeedback in visually-demanding tasks,NIME,Avinash,male,Eva,female,Beena,female,Ricardo,male,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
"[u'Mikko Myllykoski', u'Kai Tuuri', u'Esa Viirret', u'Jukka Louhivuori', u'Antti Peltomaa', u'Janne Kek\\""al\\""ainen']",Mikko,male,"Baton Rouge, Louisiana, USA",2015,6,Prototyping hand-based wearable music education technology,NIME,Kai,male,Esa,male,Jukka,male,Antti,male,Janne,male,,,,,,,,,,,,,,,,,,,,,,,1.0,0.87,0.55,1.0,1.0,0.6,,,,,,,,,,,,
[u'Jiffer Harriman'],Jiffer,None,"Baton Rouge, Louisiana, USA",2015,1,Feedback Lapsteel : Exploring Tactile Transducers As String Actuators,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,
"[u'Romain Michon', u'Julius O. Smith III', u'Yann Orlarey']",Romain,male,"Baton Rouge, Louisiana, USA",2015,3,MobileFaust: a Set of Tools to Make Musical Mobile Applications with the Faust Programming Language,NIME,Julius,male,Yann,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,0.98,,,,,,,,,,,,,,,
"[u'Andrew Mercer-Taylor', u'Jaan Altosaar']",Andrew,male,"Baton Rouge, Louisiana, USA",2015,2,Sonification of Fish Movement Using Pitch Mesh Pairs,NIME,Jaan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.92,,,,,,,,,,,,,,,,
"[u'Hans Anderson', u'Kin Wah Edward Lin', u'Natalie Agus', u'Simon Lui']",Hans,male,"Baton Rouge, Louisiana, USA",2015,4,Major Thirds: A Better Way to Tune Your iPad,NIME,Kin,male,Natalie,female,Simon,male,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.8,1.0,0.99,,,,,,,,,,,,,,
"[u'Ethan Benjamin', u'Jaan Altosaar']",Ethan,male,"Baton Rouge, Louisiana, USA",2015,2,MusicMapper: Interactive 2D representations of music samples for in-browser remixing and exploration,NIME,Jaan,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,0.92,,,,,,,,,,,,,,,,
"[u'Javier Jaimovich', u'Benjamin R. Knapp']",Javier,male,"Baton Rouge, Louisiana, USA",2015,2,Creating Biosignal Algorithms for Musical Applications from an Extensive Physiological Database,NIME,Benjamin,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Benjamin Knichel', u'Holger Reckter', u'Peter Kiefer']",Benjamin,male,"Baton Rouge, Louisiana, USA",2015,3,resonate -- a social musical installation which integrates tangible multiuser interaction,NIME,Holger,male,Peter,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
"[u'Rebecca Kleinberger', u'Gershon Dublon', u'Joseph A. Paradiso', u'Tod Machover']",Rebecca,female,"Baton Rouge, Louisiana, USA",2015,4,"PHOX Ears: A Parabolic, Head-mounted, Orientable, eXtrasensory Listening Device",NIME,Gershon,male,Joseph,male,Tod,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.99,1.0,,,,,,,,,,,,,,
[u'Palle Dahlstedt'],Palle,male,"Baton Rouge, Louisiana, USA",2015,1,Mapping Strategies and Sound Engine Design for an Augmented Hybrid Piano,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Palle Dahlstedt', u'Per Anders Nilsson', u'Gino Robair']",Palle,male,"Baton Rouge, Louisiana, USA",2015,3,The Bucket System - A computer mediated signalling system for group improvisation,NIME,Per,male,Gino,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.98,0.99,,,,,,,,,,,,,,,
"[u'Simon Alexander-Adams', u'Michael Gurevich']",Simon,male,"Baton Rouge, Louisiana, USA",2015,2,A Flexible Platform for Tangible Graphic Scores,NIME,Michael,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,1.0,,,,,,,,,,,,,,,,
"[u'Robert {Van Rooyen}', u'George Tzanetakis']",Robert,male,"Baton Rouge, Louisiana, USA",2015,2,Pragmatic Drum Motion Capture System,NIME,George,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,,
"[u'Qi Yang', u'Georg Essl']",Qi,male,"Baton Rouge, Louisiana, USA",2015,2,Representation-Plurality in Multi-Touch Mobile Visual Programming for Music,NIME,Georg,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,,,,,,,,,,,,,,,,
"[u'Jensenius, Alexander Refsum']",Alexander,male,"Baton Rouge, Louisiana, USA",2015,1,Microinteraction in Music/Dance Performance,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
"[u'Nymoen, Kristian', u'Haugen, Mari Romarheim', u'Jensenius, Alexander Refsum']",Kristian,male,"Baton Rouge, Louisiana, USA",2015,3,MuMYO - Evaluating and Exploring the MYO Armband for Musical Interaction,NIME,Mari,female,Alexander,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,0.99,1.0,,,,,,,,,,,,,,,
"[u'Eric Sheffield', u'Michael Gurevich']",Eric,male,"Baton Rouge, Louisiana, USA",2015,2,Distributed Mechanical Actuation of Percussion Instruments,NIME,Michael,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Jingyin He', u'Ajay Kapur', u'Dale Carnegie']",Jingyin,None,"Baton Rouge, Louisiana, USA",2015,3,Developing A Physical Gesture Acquisition System for Guqin Performance,NIME,Ajay,male,Dale,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0.99,0.91,,,,,,,,,,,,,,,
"[u'Richard Graham', u'John Harding']",Richard,male,"Baton Rouge, Louisiana, USA",2015,2,SEPTAR: Audio Breakout Design for Multichannel Guitar,NIME,John,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.99,,,,,,,,,,,,,,,,
"[u'Florent Berthaut', u'Diego Martinez', u'Martin Hachet', u'Sriram Subramanian']",Florent,male,"Baton Rouge, Louisiana, USA",2015,4,Reflets: Combining and Revealing Spaces for Musical Performances,NIME,Diego,male,Martin,male,Sriram,male,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
[u'Simon Lui'],Simon,male,"Baton Rouge, Louisiana, USA",2015,1,Generate expressive music from picture with a handmade multi-touch music table,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
[u'Si Waite'],Si,female,"Baton Rouge, Louisiana, USA",2015,1,Reimagining the Computer Keyboard as a Musical Interface,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,
"[u'Masami Hirabayashi', u'Kazuomi Eshima']",Masami,female,"Baton Rouge, Louisiana, USA",2015,2,Sense of Space: The Audience Participation Music Performance with High-Frequency Sound ID,NIME,Kazuomi,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,None,,,,,,,,,,,,,,,,
"[u'Tim Shaw', u""S\\'ebastien Piquemal"", u'John Bowers']",Tim,male,"Baton Rouge, Louisiana, USA",2015,3,Fields: An Exploration into the use of Mobile Devices as a Medium for Sound Diffusion,NIME,Śebastien,None,John,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,None,0.99,,,,,,,,,,,,,,,
"[u'Dan Ringwalt', u'Roger Dannenberg', u'Andrew Russell']",Dan,male,"Baton Rouge, Louisiana, USA",2015,3,Optical Music Recognition for Interactive Score Display,NIME,Roger,male,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,1.0,1.0,,,,,,,,,,,,,,,
[u'Ali Momeni'],Ali,male,"Baton Rouge, Louisiana, USA",2015,1,Caress: An Electro-acoustic Percussive Instrument for Caressing Sounds,NIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,
"[u'Roger Dannenberg', u'Andrew Russell']",Roger,male,"Baton Rouge, Louisiana, USA",2015,2,Arrangements: Flexibly Adapting Music Data for Live Performance,NIME,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'Jamie Bullock', u'Ali Momeni']",Jamie,male,"Baton Rouge, Louisiana, USA",2015,2,"ml.lib: Robust, Cross-platform, Open-source Machine Learning for Max and Pure Data",NIME,Ali,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.85,,,,,,,,,,,,,,,,
"[u'Guangyu Xia', u'Roger Dannenberg']",Guangyu,male,"Baton Rouge, Louisiana, USA",2015,2,Duet Interaction: Learning Musicianship for Automatic Accompaniment,NIME,Roger,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
"[u'James Leonard', u'Claude Cadoz']",James,male,"Baton Rouge, Louisiana, USA",2015,2,Physical Modelling Concepts for a Collection of Multisensory Virtual Musical Instruments,NIME,Claude,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,0.81,,,,,,,,,,,,,,,,
"[u""Je\\'ro\\^me Villeneuve"", u'Claude Cadoz', u""Nicolas Castagne\\'""]",Jérôme,None,"Baton Rouge, Louisiana, USA",2015,3,"Visual Representation in GENESIS as a tool for Physical Modeling, Sound Synthesis and Musical Composition",NIME,Claude,male,Nicolas,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0.81,1.0,,,,,,,,,,,,,,,
"[u'Jero\\^nimo Barbosa', u'Filipe Calegario', u'Jo\\~ao Tragtenberg', u'Giordano Cabral', u'Geber Ramalho', u'Marcelo M. Wanderley']",Jerônimo,None,"Baton Rouge, Louisiana, USA",2015,6,Designing DMIs for Popular Music in the Brazilian Northeast: Lessons Learned,NIME,Filipe,male,Jõao,None,Giordano,male,Geber,None,Marcelo,male,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,0.91,None,1.0,,,,,,,,,,,,
"[u'Duncan Menzies', u'Andrew McPherson']",Duncan,male,"Baton Rouge, Louisiana, USA",2015,2,Highland Piping Ornament Recognition Using Dynamic Time Warping,NIME,Andrew,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
